learner_id,week_number,step_number,question_number,answer,submitted,correct
pwen-653,2,11,1,2,2018-06-11 09:31:54 UTC,Y
pwen-653,2,11,2,3,2018-06-11 09:32:12 UTC,N
pwen-653,2,11,3,4,2018-06-11 09:32:41 UTC,Y
pwen-653,2,11,3,1,2018-06-11 09:32:55 UTC,N
pwen-653,2,11,4,4,2018-06-11 09:33:40 UTC,N
pwen-653,2,11,4,2,2018-06-11 09:33:51 UTC,N
pwen-653,2,11,4,2,2018-06-11 09:34:12 UTC,Y
pwen-653,2,11,5,3,2018-06-11 09:34:43 UTC,N
hrbf-553,2,11,1,1,2018-05-31 19:26:42 UTC,Y
uafi-528,2,11,1,3,2018-04-13 11:33:02 UTC,Y
